id,color,is duplo?,size type,base shape,base dimensions,number of studs,has slope?,slope degree,in stock
69,White,False,Plate,Rectangle,2x3,0,False,0.0,1
70,Turquoise,False,Plate,Rectangle,1x2,2,False,0.0,1
71,Light Blue,False,Plate,Rectangle,1x1,0,False,0.0,1
72,Yellow,False,Plate,Square,2x2,4,False,0.0,1
73,Dark Blue,False,Plate,Square,1x1,1,False,0.0,1
74,Dark Pink,False,Plate,Square,1x1,1,False,0.0,1
75,Neon Orange,False,Plate,Rectangle,1x2,2,False,0.0,1
76,Neon Dark Yellow,False,Plate,Circle,1x1,1,False,0.0,1
77,Neon Light Yellow,False,Plate,Circle,1x1,1,False,0.0,1
78,Orange,False,Plate,Circle,2x2,12,False,0.0,1
79,Light Pink,False,Plate,Circle,1x1,4,False,0.0,1
80,Dark Brown,False,Plate,Triangle,1x1,0,True,45.0,1
81,Grey,False,Brick,Circle,1x1,4,False,0.0,1
82,Black,False,Brick,Square,1x1,1,True,45.0,1
83,Red,True,Brick,Rectangle,2x4,8,False,0.0,1
84,Bright Green,True,Brick,Rectangle,2x4,8,False,0.0,1
85,Pink,True,Brick,Square,2x2,4,False,0.0,1
86,Peach,True,Brick,Square,2x2,4,False,0.0,1
87,Blue,True,Brick,Square,2x2,4,False,0.0,1
88,White,True,Plate,Rectangle,2x8,16,False,0.0,1
89,Blue,True,Plate,Rectangle,2x4,8,False,0.0,1
90,Blue,False,Brick,Rectangle,2x6,12,False,0.0,1
91,White,False,Brick,Rectangle,2x4,8,False,0.0,1
92,Pear,False,Plate,Rectangle,1x4,0,False,0.0,1
93,Pear,False,Plate,Rectangle,1x2,2,False,0.0,1
94,Bright Green,False,Brick,Rectangle,2x3,6,False,0.0,1
95,Dark Green,False,Brick,Square,2x2,4,False,0.0,1
96,Dark Green,False,Plate,Rectangle,4x6,24,False,0.0,1
97,Blue,False,Plate,Rectangle,2x4,8,False,0.0,1
98,Turquoise,False,Brick,Rectangle,1x4,4,False,0.0,1
99,Turquoise,False,Plate,Trapezium,2x4,4,False,0.0,1
100,Sky Blue,False,Plate,Square,1x1,1,False,0.0,1
101,Sky Blue,False,Brick,Rectangle,1x2,1,True,45.0,1
102,Red,False,Plate,Rectangle,2x8,16,False,0.0,1
103,Yellow,False,Plate,Rectangle,2x3,6,False,0.0,1
104,Yellow,False,Brick,Rectangle,1x2,2,False,0.0,1
105,Bright Yellow,False,Plate,Rectangle,1x2,2,False,0.0,1
106,Bright Yellow,False,Plate,Square,1x1,1,False,0.0,1
107,White,False,Plate,Square,2x2,4,False,0.0,1
108,White,False,Plate,Circle,4x4,12,False,0.0,1
109,Black,False,Plate,Square,2x2,2,False,0.0,1
110,Black,False,Plate,Circle,2x2,4,False,0.0,1
111,Black,False,Brick,Square,1x2,2,True,45.0,1
112,Navy Blue,False,Plate,Trapezium,2x4,4,False,0.0,1
113,Grey,False,Brick,Circle,2x2,4,False,0.0,1
114,Grey,False,Brick,Rectangle,2x2,4,False,0.0,1
115,Purple,False,Brick,Rectangle,1x2,2,False,0.0,1
116,Pink,False,Brick,Rectangle,1x3,3,False,0.0,1
117,Orange,False,Brick,Square,1x1,1,False,0.0,1
118,Maroon,False,Brick,Square,2x2,2,True,45.0,1
119,Cream,False,Plate,Rectangle,1x2,2,False,0.0,1
120,Khaki,False,Plate,Rectangle,1x4,4,False,0.0,1
121,Neon Green,False,Plate,Circle,1x1,1,False,0.0,1
122,Neon Yellow,False,Plate,Square,1x1,0,True,30.0,1
123,Neon Blue,False,Plate,Circle,1x1,0,False,0.0,1
124,Coral,True,Plate,Rectangle,2x4,8,False,0.0,1
125,Lime Green,True,Plate,Rectangle,2x8,16,False,0.0,1
126,Red,True,Brick,Square,2x2,4,False,0.0,1
127,Black,True,Brick,Square,2x2,4,False,0.0,1
128,Orange,True,Brick,Square,2x2,4,False,0.0,1
129,Blue,True,Brick,Rectangle,2x4,8,False,0.0,1
130,Green,True,Brick,Rectangle,2x4,8,False,0.0,1
131,Blue,False,Brick,Rectangle,2x6,12,False,0.0,1
132,Purple,False,Brick,Rectangle,2x4,8,False,0.0,1
133,Grey,False,Brick,Rectangle,2x3,6,False,0.0,1
134,Blue,False,Brick,Square,2x2,4,False,0.0,1
135,Green,False,Brick,Rectangle,1x2,2,False,0.0,1
136,Brick Red,False,Brick,Rectangle,1x2,2,False,0.0,1
137,Cyan,False,Brick,Rectangle,1x4,4,False,0.0,1
138,Grey,False,Brick,Rectangle,1x3,3,False,0.0,1
139,White,False,Brick,Square,1x1,1,False,0.0,1
140,Red,False,Brick,Circle,2x2,4,False,0.0,1
141,Grey,False,Plate,Circle,4x4,12,False,0.0,1
142,Pink,False,Plate,Rectangle,4x6,24,False,0.0,1
143,Navy Blue,False,Plate,Rectangle,2x8,16,False,0.0,1
144,Baby Blue,False,Plate,Rectangle,1x4,4,False,0.0,1
145,Black,False,Plate,Square,2x2,4,False,0.0,1
146,Orange,False,Plate,Rectangle,2x4,8,False,0.0,1
147,Yellow,False,Plate,Rectangle,2x3,6,False,0.0,1
148,Blue,False,Plate,Trapezium,2x2,4,False,0.0,1
149,Green,False,Plate,Trapezium,1x4,4,False,0.0,1
150,Brick Red,False,Plate,Rectangle,1x2,2,False,0.0,1
151,Black,False,Plate,Square,2x2,2,False,0.0,1
152,Cafe,False,Plate,Circle,2x2,4,False,0.0,1
153,Neon Yellow,False,Plate,Rectangle,1x2,2,False,0.0,1
154,Red,False,Plate,Square,1x1,1,False,0.0,1
155,Navy Blue,False,Plate,Rectangle,1x2,0,False,0.0,1
156,Yellow,False,Plate,Square,1x1,0,False,0.0,1
157,Yellow,False,Brick,Square,2x2,2,True,45.0,1
158,Dark Green,False,Plate,Square,1x1,0,True,45.0,1
159,Hot Magent,False,Plate,Circle,1x1,0,False,0.0,1
160,Orange,False,Brick,Circle,1x1,1,False,0.0,1
161,Pink,False,Brick,Rectangle,1x2,2,True,45.0,1
