id,color,is duplo?,size type,base shape,base dimensions,number of studs,has slope?,slope degree,in stock
140,Red,False,Brick,Rectangle,2x4,8,False,0.0,1
141,Red,False,Plate,Rectangle,2x8,16,False,0.0,1
142,Red,False,Plate,Rectangle,4x6,24,False,0.0,1
143,Red,False,Plate,Square,1x1,1,False,0.0,1
144,Red,False,Plate,Square,2x2,4,False,0.0,1
145,Red,True,Brick,Rectangle,2x4,8,False,0.0,3
146,Red,True,Brick,Square,2x2,4,False,0.0,2
147,Red Brown,False,Plate,Rectangle,1x1,0,False,0.0,1
148,Shiny Green,False,Brick,Square,1x1,0,True,45.0,1
149,Sky Blue,False,Brick,Rectangle,1x2,1,True,45.0,1
150,Sky Blue,False,Brick,Square,1x1,1,False,0.0,1
151,Sky Blue,False,Brick,Square,2x2,4,True,45.0,1
152,Sky Blue,False,Plate,Circle,4x4,12,False,0.0,1
153,Sky Blue,False,Plate,Square,1x1,1,False,0.0,1
154,Transparent,False,Plate,Circle,1x1,0,False,0.0,1
155,Transparent Orange,False,Plate,Square,1x1,0,False,0.0,1
156,Transparent Sky Blue,False,Plate,Circle,1x1,0,False,0.0,1
157,Transparent Yellow,False,Plate,Circle,1x1,0,False,0.0,1
158,Transparent Yellow,False,Plate,Rectangle,1x2,2,False,0.0,1
159,Turquoise,False,Brick,Rectangle,1x4,4,False,0.0,1
160,Turquoise,False,Plate,Rectangle,1x2,2,False,0.0,1
161,Turquoise,False,Plate,Trapezium,2x4,4,False,0.0,1
162,White,False,Brick,Rectangle,2x4,8,False,0.0,1
163,White,False,Brick,Square,1x1,1,False,0.0,1
164,White,False,Brick,Square,2x2,4,True,45.0,1
165,White,False,Plate,Circle,2x2,4,False,0.0,1
166,White,False,Plate,Circle,4x4,12,False,0.0,1
167,White,False,Plate,Rectangle,2x3,0,False,0.0,1
168,White,False,Plate,Rectangle,2x3,6,False,0.0,1
169,White,False,Plate,Rectangle,2x4,8,False,0.0,2
170,White,False,Plate,Rectangle,2x8,16,False,0.0,1
171,White,False,Plate,Square,2x2,4,False,0.0,1
172,White,True,Brick,Square,2x2,4,False,0.0,1
173,White,True,Plate,Rectangle,2x8,16,False,0.0,1
174,Yellow,False,Brick,Rectangle,1x2,2,False,0.0,2
175,Yellow,False,Brick,Rectangle,1x3,3,False,0.0,1
176,Yellow,False,Brick,Rectangle,2x4,8,False,0.0,2
177,Yellow,False,Brick,Square,2x2,2,True,45.0,1
178,Yellow,False,Brick,Square,2x2,4,False,0.0,1
179,Yellow,False,Plate,Rectangle,1x2,0,False,0.0,1
180,Yellow,False,Plate,Rectangle,1x3,0,False,0.0,1
181,Yellow,False,Plate,Rectangle,1x4,4,False,0.0,1
182,Yellow,False,Plate,Rectangle,2x3,6,False,0.0,2
183,Yellow,False,Plate,Square,1x1,0,False,0.0,1
184,Yellow,False,Plate,Square,2x2,4,False,0.0,1
185,Yellow,True,Brick,Square,2x2,4,False,0.0,2
