name,artist,html,dbscan_cluster,playlist_name
Talkin' 'Bout Jesus                                                                                                                                                              ,Gloria Gaynor                                   ,https://open.spotify.com/track/0Va3lL2FGZZMU5Myuj9dWp,1,Feel Good Pop
"Concerto for Orchestra, BB 123: I. Introduzione: Andante non troppo - Allegro vivace                                                                                           ",Béla Bartók                                     ,https://open.spotify.com/track/0j91GO1DteIBNsg1RHFCww,1,Feel Good Pop
Alegria                                                                                                                                                                          ,Batida                                          ,https://open.spotify.com/track/1K3JwmUeXS2g8OpRhtxtDO,1,Feel Good Pop
Samba De Verao                                                                                                                                                                   ,Caetano Veloso                                  ,https://open.spotify.com/track/1vt0n3GcAYrsSMue1C6OtC,1,Feel Good Pop
Mal Por Mal                                                                                                                                                                      ,Deolinda                                        ,https://open.spotify.com/track/3BCM8JK32QMx7GQpdMPa0w,1,Feel Good Pop
Pobre e Rico                                                                                                                                                                     ,Batida                                          ,https://open.spotify.com/track/5JwUWwgqAaG8PrQ96YMMdT,1,Feel Good Pop
"Canta Canta, Minha Gente                                                                                                                                                       ",Martinho Da Vila                                ,https://open.spotify.com/track/57E1ka54d8zrIy0VzE1EAV,1,Feel Good Pop
Let There Be Peace On Earth - Live                                                                                                                                               ,Ricky Dillard                                   ,https://open.spotify.com/track/4gQ8q2cDKHoaQsLLVfp9NH,1,Feel Good Pop
Burguesinha                                                                                                                                                                      ,Seu Jorge                                       ,https://open.spotify.com/track/3mXjQTPztvXVRuL6tt6jY3,1,Feel Good Pop
Put A Praise On It - Live                                                                                                                                                        ,Tasha Cobbs Leonard                             ,https://open.spotify.com/track/3yJdWQxmFO7nvNjEybCeYE,1,Feel Good Pop
Alma Não Tem Cor                                                                                                                                                                 ,Perotá Chingó                                   ,https://open.spotify.com/track/2Dh6lSAFh1LWYeoMkDe2TS,1,Feel Good Pop
Just As Sure                                                                                                                                                                     ,Tori Kelly                                      ,https://open.spotify.com/track/3nSixKwsNItNoeAQCJqTd7,1,Feel Good Pop
Aquele Abraço                                                                                                                                                                    ,Gilberto Gil                                    ,https://open.spotify.com/track/7CjSjWTdVPD0ov82Qz55Xb,1,Feel Good Pop
Aquele abraço - Ao vivo                                                                                                                                                          ,Gilberto Gil                                    ,https://open.spotify.com/track/1A46STanraigBtVHIHtOdm,1,Feel Good Pop
Maria Bethânia                                                                                                                                                                   ,Caetano Veloso                                  ,https://open.spotify.com/track/0UHHuAqx5RuwVoqug8JqJy,1,Feel Good Pop
Maria Bethânia                                                                                                                                                                   ,Caetano Veloso                                  ,https://open.spotify.com/track/4GldaY02BCVmDp82TU1Cpg,1,Feel Good Pop
Sampa                                                                                                                                                                            ,Caetano Veloso                                  ,https://open.spotify.com/track/2VBN5kSs1fyiE5fnOYeKsG,1,Feel Good Pop
Every Hour                                                                                                                                                                       ,Kanye West                                      ,https://open.spotify.com/track/1WnqWQcWcuQbVzgE7ecfCY,1,Feel Good Pop
O Ciúme - Remixed Original Album                                                                                                                                                 ,Caetano Veloso                                  ,https://open.spotify.com/track/5mQiAI0EhTJxCBGdftoaO7,1,Feel Good Pop
Holy Water - Church Sessions                                                                                                                                                     ,We The Kingdom                                  ,https://open.spotify.com/track/2wkiIDEXYJUels0HbBkpvl,1,Feel Good Pop
The Potter's House                                                                                                                                                               ,Jerard & Jovaun                                 ,https://open.spotify.com/track/07LmMX6JMjGRZEaA8T04xr,1,Feel Good Pop
The Storms Are On The Ocean                                                                                                                                                      ,Great Lake Swimmers                             ,https://open.spotify.com/track/7cFr7zLBuMKTOXCaqtPZKV,1,Feel Good Pop
La Leyenda Del Pájaro Antiguo (feat. Nacho Vegas)                                                                                                                                ,Carlos Madrid                                   ,https://open.spotify.com/track/5DsFIYjWE6H4OdqQRaQree,1,Feel Good Pop
More Abundantly Medley - Live                                                                                                                                                    ,Ricky Dillard                                   ,https://open.spotify.com/track/6nvtHB8cv559sNsUDhoFhn,1,Feel Good Pop
Yegelle Tezeta                                                                                                                                                                   ,Mulatu Astatke                                  ,https://open.spotify.com/track/13mRBBJNymUMfw7NQTj0HE,1,Feel Good Pop
Different Pulses                                                                                                                                                                 ,Asaf Avidan                                     ,https://open.spotify.com/track/2Bs2HbkizFCGVbkEtB3oES,1,Feel Good Pop
Worth Fighting For - Live                                                                                                                                                        ,Brian Courtney Wilson                           ,https://open.spotify.com/track/51fegUPIH02heRh9fkkLwE,1,Feel Good Pop
Lead Me Home - The Walking Dead Soundtrack                                                                                                                                       ,Jamie N Commons                                 ,https://open.spotify.com/track/3VLdNTLmKpXu79TMCeRbLO,1,Feel Good Pop
There Is More                                                                                                                                                                    ,Lexi                                            ,https://open.spotify.com/track/0RugrGfhtDCfFN4SUwg0th,1,Feel Good Pop
Lindeza                                                                                                                                                                          ,Caetano Veloso                                  ,https://open.spotify.com/track/4D5QLMjOP8bxl45X1T3878,1,Feel Good Pop
Tirei o Chapéu                                                                                                                                                                   ,Batida                                          ,https://open.spotify.com/track/1NC2mfagQJAUejZNuMernG,1,Feel Good Pop
God's Gonna Do It - Live                                                                                                                                                         ,Ricky Dillard                                   ,https://open.spotify.com/track/3khoTXZLzriag5yLXcaDZc,1,Feel Good Pop
Sunset                                                                                                                                                                           ,The xx                                          ,https://open.spotify.com/track/7DImv0qWPEiAYUPJ0yKuDd,1,Feel Good Pop
A Real Hero                                                                                                                                                                      ,College & Electric Youth                        ,https://open.spotify.com/track/1aJrVsHwcQMZ8TZ6mlvT5J,1,Feel Good Pop
Under Your Spell                                                                                                                                                                 ,Desire                                          ,https://open.spotify.com/track/38vNwoJygRx1u77aJOV8Zb,1,Feel Good Pop
Eme n'gui mona n'gola                                                                                                                                                            ,Carlitos Vieira Dias                            ,https://open.spotify.com/track/3wguFkdRBUO5dDOt5mNcPk,1,Feel Good Pop
La Vuelta Al Mundo                                                                                                                                                               ,Calle 13                                        ,https://open.spotify.com/track/1jlKdNbOA90rjnt88GJnwO,1,Feel Good Pop
I Wish You Were Here                                                                                                                                                             ,Alpha Blondy                                    ,https://open.spotify.com/track/4AVIdds2A4E4UsZcVU0Uso,1,Feel Good Pop
What Can I Do - Live                                                                                                                                                             ,Tye Tribbett                                    ,https://open.spotify.com/track/3MwZoGEVR9i2AWzA8Vko9O,1,Feel Good Pop
Criminals                                                                                                                                                                        ,The Tallest Man On Earth                        ,https://open.spotify.com/track/4Qc2AnbiQVj9zUzRfrQNVQ,1,Feel Good Pop
La Nueva Reconquista de Graná                                                                                                                                                    ,Grupo De Expertos Solynieve                     ,https://open.spotify.com/track/6Oj0gEBy4t8cYNX43u6cXd,1,Feel Good Pop
Ballad of Hollis Brown                                                                                                                                                           ,Bob Dylan                                       ,https://open.spotify.com/track/3Si9u9FVlUTcUXVcawnstJ,1,Feel Good Pop
I'm Getting Ready                                                                                                                                                                ,Tasha Cobbs Leonard                             ,https://open.spotify.com/track/5RjS5iW0FWn1U4ZaWjhLlP,1,Feel Good Pop
Sigur 1 (Untitled)                                                                                                                                                               ,Sigur Rós                                       ,https://open.spotify.com/track/45X6BMb7ONA5GPJTdWU1jr,1,Feel Good Pop
Hey! Wake Up                                                                                                                                                                     ,Luthea Salom                                    ,https://open.spotify.com/track/67VZstMlh0uLvj7uORvB2D,1,Feel Good Pop
God Has His Hands On You                                                                                                                                                         ,The Brown Boyz                                  ,https://open.spotify.com/track/283ZhU6JcUdzMyAi0P3kml,1,Feel Good Pop
Vultures                                                                                                                                                                         ,Cocoon                                          ,https://open.spotify.com/track/17jdGfPOPtpm89OwbVufa7,1,Feel Good Pop
Animal Salvatge                                                                                                                                                                  ,Sanjosex                                        ,https://open.spotify.com/track/0PnFxSp2D1zDZdWgFXrY1i,1,Feel Good Pop
Increase My Faith                                                                                                                                                                ,Brian Courtney Wilson                           ,https://open.spotify.com/track/5IUqnJgMFwi0o6jq5K8Fj5,1,Feel Good Pop
Won't Let Me Down                                                                                                                                                                ,Jonathan Traylor                                ,https://open.spotify.com/track/3Yk6zt2pSFdYcP9NS0uEB2,1,Feel Good Pop
"Welcome Home, Son                                                                                                                                                              ",Radical Face                                    ,https://open.spotify.com/track/13PUJCvdTSCT1dn70tlGdm,1,Feel Good Pop
All the Trees of the Field Will Clap Their Hands                                                                                                                                 ,Sufjan Stevens                                  ,https://open.spotify.com/track/5OojmQ36TXkfL2JfoFJcaq,1,Feel Good Pop
Happy - Live/Remastered                                                                                                                                                          ,Tasha Cobbs Leonard                             ,https://open.spotify.com/track/3xi1xCFDUkOiUGJqlztGNC,1,Feel Good Pop
Follow God                                                                                                                                                                       ,Kanye West                                      ,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h,1,Feel Good Pop
Sugar Man                                                                                                                                                                        ,Rodríguez                                       ,https://open.spotify.com/track/52BUOdNI2TneBPq4EFOtAy,1,Feel Good Pop
"Que No Sea Kang, Por Favor                                                                                                                                                     ",Los Planetas                                    ,https://open.spotify.com/track/41OGvdfzThkNxQVUkkWgq9,1,Feel Good Pop
Catendé - Live                                                                                                                                                                  ,Vinícius de Moraes                              ,https://open.spotify.com/track/5u16KY1xdK7fz9ZZJt0vEx,1,Feel Good Pop
"Symphony No. 1 in D major, Wq. 183/1: Symphony No. 1 in D major, Wq. 183/1: I. Allegro di molto                                                                                ",Carl Philipp Emanuel Bach                       ,https://open.spotify.com/track/7125Z776uNesKF0pNYU3lU,1,Feel Good Pop
Senhora liberdade                                                                                                                                                                ,Zezé Motta                                      ,https://open.spotify.com/track/0HdeVf8f8wVkrYNYbF0u2t,1,Feel Good Pop
Deixa A Gira Girar                                                                                                                                                               ,Os Tincoãs                                      ,https://open.spotify.com/track/3BD2hlwoExMUXUpxcYxaWx,1,Feel Good Pop
Fight Song                                                                                                                                                                       ,Rachel Platten                                  ,https://open.spotify.com/track/37f4ITSlgPX81ad2EvmVQr,1,Feel Good Pop
Lost In Japan - Remix                                                                                                                                                            ,Shawn Mendes                                    ,https://open.spotify.com/track/575NJxNUVDqwJGdzBrlLbv,1,Feel Good Pop
Ich seh nur dich                                                                                                                                                                 ,TEY                                             ,https://open.spotify.com/track/0Q4kXfmbXSIeQZqvM0SABA,1,Feel Good Pop
Weak                                                                                                                                                                             ,AJR                                             ,https://open.spotify.com/track/3TJk0aoXM0knrOlgd1fnbx,1,Feel Good Pop
All Night                                                                                                                                                                        ,The Vamps                                       ,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW,1,Feel Good Pop
Just Hold On                                                                                                                                                                     ,Steve Aoki                                      ,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,1,Feel Good Pop
Starving                                                                                                                                                                         ,Hailee Steinfeld                                ,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,1,Feel Good Pop
Touch                                                                                                                                                                            ,Little Mix                                      ,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z,1,Feel Good Pop
Shout Out to My Ex                                                                                                                                                               ,Little Mix                                      ,https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g,1,Feel Good Pop
194 Länder                                                                                                                                                                       ,Mark Forster                                    ,https://open.spotify.com/track/6rnJn3QbXeYUQpdFsr3kzm,1,Feel Good Pop
Fuck You                                                                                                                                                                         ,CeeLo Green                                     ,https://open.spotify.com/track/3ydfhgIZIc2j39NLIhpJpq,1,Feel Good Pop
2002 - Jay Pryor Remix                                                                                                                                                           ,Anne-Marie                                      ,https://open.spotify.com/track/0KURlSvVShmFDbw1oum9QS,1,Feel Good Pop
It Wasn't Me                                                                                                                                                                     ,Shaggy                                          ,https://open.spotify.com/track/1lzr43nnXAijIGYnCT8M8H,1,Feel Good Pop
Havana (feat. Young Thug)                                                                                                                                                        ,Camila Cabello                                  ,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,1,Feel Good Pop
24K Magic                                                                                                                                                                        ,Bruno Mars                                      ,https://open.spotify.com/track/2gFvRmQiWg9fN9i74Q0aiw,1,Feel Good Pop
That's Amore                                                                                                                                                                     ,Dean Martin                                     ,https://open.spotify.com/track/3x6wVKXfCm85Pw7gYo0rqq,1,Feel Good Pop
