Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Platform_Family
Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,2003,Misc,Konami Digital Entertainment,0.68,0.25,0.0,0.02,0.95,Nintendo
NCAA Football 2000,PS,1999,Sports,Electronic Arts,0.53,0.36,0.0,0.06,0.95,PlayStation
Brutal Legend,PS3,2009,Action,Electronic Arts,0.54,0.28,0.0,0.13,0.95,PlayStation
Skylanders: Spyro's Adventure,PS3,2011,Action,Activision,0.39,0.4,0.0,0.16,0.95,PlayStation
Guitar Hero: Metallica,Wii,2009,Misc,Activision,0.41,0.43,0.0,0.1,0.95,Nintendo
Evolve,PS4,2015,Shooter,Take-Two Interactive,0.35,0.41,0.05,0.15,0.95,PlayStation
WWE SmackDown vs. Raw 2009,PS3,2008,Fighting,THQ,0.51,0.31,0.01,0.13,0.95,PlayStation
Army of Two: The 40th Day,X360,2010,Shooter,Electronic Arts,0.62,0.24,0.0,0.08,0.95,Xbox
Tony Hawk: RIDE,Wii,2009,Sports,Activision,0.7,0.17,0.0,0.08,0.95,Nintendo
Lego Batman 3: Beyond Gotham,X360,2014,Action,Warner Bros. Interactive Entertainment,0.48,0.38,0.0,0.08,0.95,Xbox
Wii Play: Motion,Wii,2011,Misc,Nintendo,0.24,0.43,0.18,0.09,0.95,Nintendo
Killzone,PS2,2004,Shooter,Sony Computer Entertainment,0.79,0.03,0.0,0.13,0.94,PlayStation
The Tomb Raider Trilogy,PS3,2011,Action,Square Enix,0.27,0.5,0.0,0.17,0.94,PlayStation
Colin McRae Rally 04,PS2,2003,Racing,Codemasters,0.01,0.71,0.01,0.21,0.94,PlayStation
Star Fox 64 3D,3DS,2011,Shooter,Nintendo,0.48,0.27,0.13,0.07,0.94,Nintendo
The SpongeBob SquarePants Movie,GC,2004,Platform,THQ,0.73,0.19,0.0,0.03,0.94,Nintendo
Rocksmith 2014,X360,2013,Misc,Ubisoft,0.69,0.17,0.0,0.08,0.94,Xbox
Midway Presents Arcade's Greatest Hits: The Atari Collection 1,PS,1996,Misc,GT Interactive,0.52,0.36,0.0,0.06,0.94,PlayStation
Cars,Wii,2006,Racing,THQ,0.83,0.04,0.0,0.07,0.94,Nintendo
Assassin's Creed III,PC,2012,Action,Ubisoft,0.28,0.53,0.0,0.13,0.94,PC
Castlevania: Lament of Innocence,PS2,2003,Action,Konami Digital Entertainment,0.46,0.36,0.0,0.12,0.94,PlayStation
Mario Tennis Open,3DS,2012,Sports,Nintendo,0.26,0.29,0.33,0.05,0.94,Nintendo
The Witcher 2: Assassins of Kings,X360,2012,Action,Namco Bandai Games,0.48,0.36,0.02,0.08,0.94,Xbox
Bayonetta,X360,2009,Action,Sega,0.51,0.26,0.09,0.08,0.94,Xbox
Destroy All Humans!,PS2,2005,Shooter,THQ,0.78,0.03,0.0,0.13,0.94,PlayStation
MVP Baseball 2005,XB,2005,Sports,Electronic Arts,0.7,0.2,0.0,0.03,0.94,Xbox
SaGa Frontier 2,PS,1999,Role-Playing,SquareSoft,0.1,0.07,0.71,0.06,0.94,PlayStation
NCAA Football 10,X360,2009,Sports,Electronic Arts,0.87,0.0,0.0,0.07,0.94,Xbox
MLB 2000,PS,1999,Sports,Sony Computer Entertainment,0.52,0.35,0.0,0.06,0.94,PlayStation
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,0.48,0.3,0.08,0.08,0.94,Nintendo
Bully,PS2,2006,Action,Take-Two Interactive,0.75,0.03,0.04,0.12,0.94,PlayStation
Prince of Persia: The Sands of Time,XB,2003,Action,Ubisoft,0.57,0.33,0.0,0.04,0.94,Xbox
Phantasy Star Portable,PSP,2008,Role-Playing,Sega,0.19,0.06,0.63,0.05,0.94,PlayStation
Hot Shots Golf Fore!,PS2,2003,Sports,Sony Computer Entertainment,0.46,0.36,0.0,0.12,0.94,PlayStation
MLB 06: The Show,PS2,2006,Sports,Sony Computer Entertainment,0.78,0.03,0.0,0.13,0.94,PlayStation
NHL 2003,PS2,2002,Sports,Electronic Arts,0.46,0.36,0.0,0.12,0.93,PlayStation
Operation Flashpoint: Dragon Rising,X360,2009,Shooter,Codemasters,0.36,0.45,0.02,0.1,0.93,Xbox
Nickelodeon Fit,Wii,2010,Sports,Take-Two Interactive,0.78,0.09,0.0,0.06,0.93,Nintendo
Buzz! Quiz World,PS3,2009,Misc,Sony Computer Entertainment,0.16,0.58,0.0,0.2,0.93,PlayStation
Tony Hawk's Pro Skater 4,XB,2002,Sports,Activision,0.59,0.3,0.0,0.04,0.93,Xbox
Borderlands 2,PC,2012,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.11,0.93,PC
EA Sports Grand Slam Tennis,Wii,2009,Sports,Electronic Arts,0.29,0.52,0.02,0.11,0.93,Nintendo
White Knight Chronicles: International Edition,PS3,2008,Role-Playing,Sony Computer Entertainment,0.33,0.16,0.36,0.08,0.93,PlayStation
SSX,PS3,2012,Sports,Electronic Arts,0.35,0.42,0.02,0.14,0.93,PlayStation
Sonic Riders: Zero Gravity,Wii,2008,Racing,Sega,0.5,0.32,0.02,0.1,0.93,Nintendo
LEGO Jurassic World,PS3,2015,Action,Warner Bros. Interactive Entertainment,0.34,0.44,0.0,0.15,0.93,PlayStation
Build-A-Bear Workshop,DS,2007,Simulation,Game Factory,0.85,0.01,0.0,0.07,0.93,Nintendo
Crash City Mayhem,GBA,2004,Racing,THQ,0.67,0.25,0.0,0.02,0.93,Nintendo
Spider-Man,2600,1981,Action,Parker Bros.,0.87,0.05,0.0,0.01,0.93,Atari
Mega Man 4,NES,1991,Platform,Capcom,0.51,0.09,0.32,0.01,0.93,Nintendo
Castlevania II: Simon's Quest,NES,1987,Platform,Konami Digital Entertainment,0.45,0.06,0.42,0.0,0.93,Nintendo
Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999,Platform,Activision,0.71,0.2,0.0,0.01,0.93,Nintendo
Teenage Mutant Ninja Turtles,GBA,2003,Action,Unknown,0.67,0.25,0.0,0.02,0.93,Nintendo
MLB 07: The Show,PS2,2007,Sports,Sony Computer Entertainment,0.77,0.03,0.0,0.13,0.93,PlayStation
Skylanders: Trap Team,X360,2014,Action,Activision,0.54,0.31,0.0,0.08,0.93,Xbox
Cars,GC,2006,Racing,THQ,0.72,0.19,0.0,0.03,0.93,Nintendo
Brothers in Arms: Hell's Highway,PS3,2008,Shooter,Ubisoft,0.44,0.34,0.0,0.15,0.93,PlayStation
Inazuma Eleven 3,DS,2010,Role-Playing,Level 5,0.0,0.0,0.93,0.0,0.93,Nintendo
Pokken Tournament,WiiU,2016,Fighting,Namco Bandai Games,0.47,0.22,0.16,0.07,0.93,Nintendo
SnoCross Championship Racing,PS,1999,Racing,Ubisoft,0.52,0.35,0.0,0.06,0.93,PlayStation
Teenage Mutant Ninja Turtles,PS2,2003,Action,Konami Digital Entertainment,0.45,0.35,0.0,0.12,0.92,PlayStation
Top Gun: Combat Zones,PS2,2001,Simulation,Titus,0.45,0.35,0.0,0.12,0.92,PlayStation
Blue Dragon,X360,2006,Role-Playing,Microsoft Game Studios,0.3,0.33,0.21,0.08,0.92,Xbox
007: The World is not Enough,PS,2000,Action,Electronic Arts,0.51,0.35,0.0,0.06,0.92,PlayStation
NCAA Football 11,X360,2010,Sports,Electronic Arts,0.86,0.0,0.0,0.06,0.92,Xbox
NHL 98,PS,1997,Sports,Electronic Arts,0.51,0.35,0.0,0.06,0.92,PlayStation
FIFA Street,X360,2012,Sports,Electronic Arts,0.17,0.65,0.0,0.1,0.92,Xbox
EA Sports Active 2,PS3,2010,Sports,Electronic Arts,0.52,0.28,0.0,0.12,0.92,PlayStation
SpongeBob SquarePants: The Yellow Avenger,PSP,2006,Action,THQ,0.55,0.21,0.0,0.16,0.92,PlayStation
WWE SmackDown vs. Raw 2009,X360,2008,Fighting,THQ,0.58,0.26,0.0,0.08,0.92,Xbox
Dante's Inferno,X360,2010,Action,Electronic Arts,0.63,0.2,0.02,0.07,0.92,Xbox
Wipeout: In The Zone,X360,2011,Misc,Activision,0.87,0.0,0.0,0.05,0.92,Xbox
Space Jam,PS,1996,Sports,Acclaim Entertainment,0.51,0.35,0.0,0.06,0.92,PlayStation
Kung Fu Panda,Wii,2008,Action,Activision,0.5,0.32,0.0,0.09,0.92,Nintendo
Knockout Kings 2000,N64,1999,Fighting,Electronic Arts,0.63,0.27,0.0,0.02,0.92,Nintendo
Balloon Fight,NES,1985,Platform,Nintendo,0.39,0.09,0.43,0.01,0.92,Nintendo
Assassin's Creed,PC,2008,Adventure,Ubisoft,0.01,0.83,0.0,0.08,0.92,PC
Disney Magical World,3DS,2013,Adventure,Nintendo,0.16,0.2,0.53,0.03,0.92,Nintendo
Crysis 3,X360,2013,Shooter,Electronic Arts,0.51,0.33,0.01,0.08,0.92,Xbox
Lego Batman 3: Beyond Gotham,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.39,0.0,0.15,0.92,PlayStation
Dynasty Warriors 7,PS3,2011,Action,Tecmo Koei,0.25,0.14,0.46,0.06,0.92,PlayStation
The Evil Within,PS3,2014,Action,Bethesda Softworks,0.26,0.39,0.12,0.14,0.92,PlayStation
MLB 12: The Show,PS3,2012,Sports,Sony Computer Entertainment,0.86,0.0,0.0,0.06,0.92,PlayStation
Sonic Riders,GC,2006,Racing,Sega,0.71,0.18,0.0,0.03,0.92,Nintendo
Starsky & Hutch,PS2,2003,Racing,Empire Interactive,0.45,0.35,0.0,0.12,0.92,PlayStation
Tobal No.1,PS,1996,Fighting,Sony Computer Entertainment,0.12,0.08,0.66,0.06,0.92,PlayStation
Lost Odyssey,X360,2007,Role-Playing,Microsoft Game Studios,0.45,0.27,0.11,0.09,0.92,Xbox
MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment,0.67,0.08,0.0,0.17,0.92,PlayStation
Operation Flashpoint: Dragon Rising,PS3,2009,Shooter,Codemasters,0.23,0.46,0.05,0.17,0.92,PlayStation
Homefront,PS3,2011,Shooter,THQ,0.32,0.4,0.04,0.15,0.91,PlayStation
AMF Bowling Pinbusters!,Wii,2007,Sports,Bethesda Softworks,0.85,0.0,0.0,0.07,0.91,Nintendo
Street Hoops,PS2,2002,Sports,Activision,0.45,0.35,0.0,0.12,0.91,PlayStation
Avatar: The Game,PS3,2009,Action,Ubisoft,0.32,0.43,0.0,0.16,0.91,PlayStation
Harvest Moon 3D: A New Beginning,3DS,2012,Action,Marvelous Entertainment,0.41,0.17,0.29,0.05,0.91,Nintendo
Tom Clancy's EndWar,X360,2008,Strategy,Ubisoft,0.58,0.24,0.01,0.09,0.91,Xbox
Knockout Kings 2002,PS2,2002,Sports,Electronic Arts,0.45,0.35,0.0,0.12,0.91,PlayStation
Tokyo Xtreme Racer 3,PS2,2003,Racing,Genki,0.35,0.27,0.21,0.09,0.91,PlayStation
LEGO Indiana Jones 2: The Adventure Continues,PS3,2009,Action,Activision,0.47,0.3,0.0,0.13,0.91,PlayStation
Colin McRae Rally 2.0,PS,2000,Racing,Codemasters,0.02,0.8,0.02,0.07,0.91,PlayStation
Glover,N64,1998,Platform,Hasbro Interactive,0.72,0.17,0.0,0.01,0.91,Nintendo
MX vs. ATV Reflex,PS3,2009,Racing,THQ,0.52,0.26,0.0,0.12,0.91,PlayStation
Minecraft: Story Mode,X360,2015,Adventure,Mojang,0.46,0.38,0.0,0.08,0.91,Xbox
Marvel: Ultimate Alliance 2,X360,2009,Role-Playing,Activision,0.68,0.15,0.0,0.08,0.91,Xbox
Call of Duty: World at War,DS,2008,Shooter,Activision,0.57,0.26,0.0,0.08,0.91,Nintendo
Super Momotarou Dentetsu III,SNES,1994,Simulation,Hudson Soft,0.0,0.0,0.91,0.0,0.91,Nintendo
Sonic Mega Collection Plus,XB,2004,Misc,Sega,0.61,0.26,0.0,0.04,0.91,Xbox
DJ Hero,PS3,2009,Misc,Activision,0.42,0.34,0.0,0.14,0.91,PlayStation
Dragon Age: Inquisition,XOne,2014,Role-Playing,Electronic Arts,0.55,0.28,0.0,0.07,0.91,Xbox
The Simpsons Game,PS3,2007,Action,Electronic Arts,0.38,0.37,0.0,0.15,0.91,PlayStation
Tiger Woods PGA Tour 2002,PS2,2002,Sports,Electronic Arts,0.44,0.35,0.0,0.12,0.9,PlayStation
Mini-Yonku Shining Scorpion: Let's & Go!!,SNES,1996,Racing,ASCII Entertainment,0.0,0.0,0.9,0.0,0.9,Nintendo
MLB 2005,PS2,2004,Sports,Sony Computer Entertainment,0.44,0.35,0.0,0.12,0.9,PlayStation
SOCOM 4: U.S. Navy SEALs,PS3,2011,Shooter,Sony Computer Entertainment,0.66,0.12,0.04,0.08,0.9,PlayStation
Burnout Revenge,PS2,2005,Racing,Electronic Arts,0.75,0.03,0.0,0.12,0.9,PlayStation
Buzz! Quiz TV,PS3,2008,Misc,Sony Computer Entertainment,0.28,0.48,0.0,0.14,0.9,PlayStation
We Ski & Snowboard,Wii,2008,Sports,Atari,0.38,0.29,0.15,0.08,0.9,Nintendo
Destruction Derby,PS,1995,Racing,Psygnosis,0.5,0.34,0.0,0.06,0.9,PlayStation
TouchMaster 2,DS,2008,Puzzle,Midway Games,0.3,0.49,0.0,0.1,0.9,Nintendo
Crysis 3,PS3,2013,Shooter,Electronic Arts,0.26,0.43,0.03,0.18,0.9,PlayStation
3Xtreme,PS,1999,Action,989 Studios,0.5,0.34,0.0,0.06,0.9,PlayStation
Hot Shots Tennis,PS2,2006,Sports,Sony Computer Entertainment,0.17,0.13,0.55,0.05,0.9,PlayStation
Sonic Heroes,XB,2003,Platform,Sega,0.41,0.43,0.01,0.05,0.9,Xbox
Resistance: Retribution,PSP,2009,Shooter,Sony Computer Entertainment,0.27,0.36,0.05,0.22,0.9,PlayStation
Tiger Woods PGA Tour 12: The Masters,PS3,2011,Sports,Electronic Arts,0.52,0.26,0.0,0.12,0.9,PlayStation
Star Wars: The Force Unleashed,DS,2008,Action,LucasArts,0.51,0.29,0.0,0.09,0.9,Nintendo
Madden NFL 99,N64,1998,Sports,Electronic Arts,0.84,0.05,0.0,0.01,0.9,Nintendo
Spider-Man 3,PS2,2007,Platform,Activision,0.74,0.03,0.01,0.12,0.9,PlayStation
James Bond 007: Agent Under Fire,XB,2002,Shooter,Electronic Arts,0.65,0.22,0.0,0.03,0.9,Xbox
Samba De Amigo,Wii,2008,Misc,Sega,0.42,0.37,0.01,0.1,0.9,Nintendo
The Elder Scrolls Online,PC,2014,Role-Playing,Bethesda Softworks,0.32,0.48,0.0,0.09,0.9,PC
Pure,PS3,2008,Racing,Disney Interactive Studios,0.42,0.33,0.0,0.14,0.9,PlayStation
FIFA Soccer 09 All-Play,Wii,2008,Sports,Electronic Arts,0.29,0.52,0.0,0.09,0.9,Nintendo
Fossil Fighters,DS,2008,Role-Playing,Nintendo,0.84,0.0,0.0,0.06,0.9,Nintendo
LittleBigPlanet Karting,PS3,2012,Action,Sony Computer Entertainment,0.42,0.32,0.01,0.15,0.9,PlayStation
X-Men Legends,XB,2004,Role-Playing,Activision,0.62,0.24,0.0,0.04,0.9,Xbox
NBA Live 2005,XB,2004,Sports,Electronic Arts,0.81,0.05,0.0,0.04,0.9,Xbox
Harry Potter: Quidditch World Cup,PS2,2003,Sports,Electronic Arts,0.44,0.34,0.0,0.11,0.9,PlayStation
The Biggest Loser: Ultimate Workout,X360,2010,Sports,THQ,0.73,0.1,0.0,0.06,0.9,Xbox
Madagascar,GBA,2005,Platform,Activision,0.62,0.24,0.0,0.03,0.89,Nintendo
Call of Juarez: Bound in Blood,PS3,2009,Shooter,Ubisoft,0.35,0.38,0.01,0.16,0.89,PlayStation
Killzone: Liberation,PSP,2006,Shooter,Sony Computer Entertainment,0.44,0.28,0.0,0.18,0.89,PlayStation
Madden NFL 08,Wii,2007,Sports,Electronic Arts,0.82,0.01,0.0,0.07,0.89,Nintendo
Blitz: The League,PS2,2005,Sports,Unknown,0.74,0.03,0.0,0.12,0.89,PlayStation
LEGO Jurassic World,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.32,0.42,0.01,0.14,0.89,PlayStation
Castlevania: Circle of the Moon,GBA,2001,Platform,Konami Digital Entertainment,0.6,0.22,0.05,0.02,0.89,Nintendo
Sonic Chronicles: The Dark Brotherhood,DS,2008,Role-Playing,Sega,0.51,0.29,0.01,0.09,0.89,Nintendo
Tiger Woods PGA Tour 06,PS2,2005,Sports,Electronic Arts,0.74,0.03,0.0,0.12,0.89,PlayStation
Classic NES Series: The Legend of Zelda,GBA,2004,Adventure,Nintendo,0.46,0.17,0.24,0.02,0.89,Nintendo
The Jak and Daxter Collection,PS3,2012,Platform,Sony Computer Entertainment,0.6,0.19,0.0,0.1,0.89,PlayStation
Fire Emblem: The Sacred Stones,GBA,2004,Strategy,Nintendo,0.42,0.16,0.3,0.02,0.89,Nintendo
Pokemon Card GB2: Here Comes Team GR!,GB,2001,Strategy,Nintendo,0.0,0.0,0.89,0.0,0.89,Nintendo
Finding Nemo,GC,2003,Action,THQ,0.69,0.18,0.0,0.02,0.89,Nintendo
CSI: Hard Evidence,Wii,2008,Adventure,Ubisoft,0.36,0.43,0.0,0.1,0.89,Nintendo
Ace Combat 2,PS,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,PlayStation
F1 2009,Wii,2009,Racing,Codemasters,0.15,0.63,0.0,0.11,0.89,Nintendo
NFL 2K2,PS2,2001,Sports,Sega,0.44,0.34,0.0,0.11,0.89,PlayStation
EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,0.28,0.47,0.0,0.14,0.89,PlayStation
Dissidia 012: Duodecim Final Fantasy,PSP,2011,Fighting,Square Enix,0.21,0.13,0.46,0.08,0.89,PlayStation
LEGO Marvel Super Heroes,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.42,0.36,0.04,0.07,0.89,Nintendo
F1 2010,X360,2010,Racing,Codemasters,0.18,0.59,0.01,0.1,0.89,Xbox
Monster 4X4: World Circuit,Wii,2006,Racing,Ubisoft,0.81,0.0,0.01,0.07,0.89,Nintendo
Call of Duty: Modern Warfare 2,PC,2009,Shooter,Activision,0.01,0.79,0.0,0.09,0.89,PC
Wii Fit U,WiiU,2013,Sports,Nintendo,0.39,0.24,0.21,0.06,0.89,Nintendo
Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,Electronic Arts,0.55,0.25,0.01,0.07,0.89,Xbox
Call of Duty: Modern Warfare 3,Wii,2011,Shooter,Activision,0.6,0.21,0.0,0.08,0.89,Nintendo
MLB 2001,PS,2000,Sports,Sony Computer Entertainment,0.49,0.34,0.0,0.06,0.89,PlayStation
SingStar Anthems,PS2,2006,Misc,Sony Computer Entertainment,0.0,0.68,0.0,0.2,0.89,PlayStation
Seiken Densetsu 3,SNES,1995,Role-Playing,SquareSoft,0.0,0.0,0.89,0.0,0.89,Nintendo
Mega Man 8 Anniversary Collector's Edition,PS,1996,Platform,Capcom,0.44,0.3,0.09,0.06,0.88,PlayStation
WWE SmackDown vs. Raw 2011,X360,2010,Fighting,THQ,0.44,0.36,0.0,0.08,0.88,Xbox
Sleeping Dogs,X360,2012,Action,Square Enix,0.38,0.41,0.01,0.08,0.88,Xbox
Grand Theft Auto IV,PC,2008,Action,Take-Two Interactive,0.01,0.79,0.0,0.08,0.88,PC
Peppa Pig: The Game,DS,2008,Misc,Pinnacle,0.0,0.82,0.0,0.06,0.88,Nintendo
Michael Jackson: The Experience,X360,2011,Misc,Ubisoft,0.62,0.2,0.0,0.07,0.88,Xbox
Ghostbusters: The Video Game,Wii,2009,Action,Atari,0.6,0.21,0.0,0.08,0.88,Nintendo
Rock Band 3,X360,2010,Misc,MTV Games,0.73,0.1,0.0,0.06,0.88,Xbox
Resident Evil: Revelations,3DS,2012,Action,Capcom,0.3,0.22,0.3,0.05,0.88,Nintendo
NBA 2K6,PS2,2005,Action,Take-Two Interactive,0.43,0.34,0.0,0.11,0.88,PlayStation
Buzz! The Mega Quiz,PS2,2007,Misc,Sony Computer Entertainment,0.32,0.06,0.0,0.5,0.88,PlayStation
Endless Ocean: Blue World,Wii,2009,Simulation,Nintendo,0.47,0.22,0.12,0.07,0.88,Nintendo
Star Wars: Rebel Assault II - The Hidden Empire,PS,1996,Shooter,CTO SpA,0.49,0.33,0.0,0.06,0.88,PlayStation
Just Cause 3,XOne,2015,Action,Square Enix,0.42,0.38,0.0,0.07,0.88,Xbox
Metal Gear Ac!d,PSP,2004,Strategy,Konami Digital Entertainment,0.32,0.26,0.12,0.17,0.88,PlayStation
Cooking Mama: World Kitchen,Wii,2008,Simulation,505 Games,0.51,0.28,0.01,0.08,0.88,Nintendo
Tekken Tag Tournament 2,PS3,2012,Fighting,Namco Bandai Games,0.28,0.33,0.13,0.14,0.88,PlayStation
ESPN NHL 2K5,PS2,2004,Sports,Global Star,0.43,0.33,0.0,0.11,0.88,PlayStation
GRID,X360,2008,Racing,Codemasters,0.33,0.44,0.01,0.09,0.88,Xbox
Phantasy Star Portable 2,PSP,2009,Role-Playing,Sega,0.08,0.11,0.62,0.06,0.88,PlayStation
Crimson Skies: High Road to Revenge,XB,2003,Simulation,Microsoft Game Studios,0.65,0.19,0.0,0.03,0.87,Xbox
Spec Ops: Ranger Elite,PS,2001,Shooter,TalonSoft,0.49,0.33,0.0,0.06,0.87,PlayStation
Gex,PS,1995,Platform,Crystal Dynamics,0.49,0.33,0.0,0.06,0.87,PlayStation
NBA 2K14,XOne,2013,Sports,Take-Two Interactive,0.7,0.11,0.0,0.06,0.87,Xbox
DiRT,X360,2007,Racing,Codemasters,0.38,0.4,0.0,0.09,0.87,Xbox
Derby Stallion II,SNES,1994,Sports,ASCII Entertainment,0.0,0.0,0.87,0.0,0.87,Nintendo
Gold's Gym: Dance Workout,Wii,2010,Sports,Ubisoft,0.71,0.11,0.0,0.06,0.87,Nintendo
Red Faction: Guerrilla,X360,2009,Shooter,THQ,0.48,0.29,0.01,0.09,0.87,Xbox
Tom Clancy's Ghost Recon: Island Thunder,XB,2003,Shooter,Ubisoft,0.61,0.24,0.0,0.03,0.87,Xbox
Mercenaries 2: World in Flames,PS3,2008,Shooter,Electronic Arts,0.29,0.4,0.02,0.16,0.87,PlayStation
Need for Speed: V-Rally,PS,1997,Racing,Infogrames,0.43,0.29,0.09,0.06,0.87,PlayStation
Kingdom Hearts Re: Chain of Memories,PS2,2008,Role-Playing,Square Enix,0.73,0.03,0.0,0.12,0.87,PlayStation
Pictionary,Wii,2010,Puzzle,THQ,0.61,0.19,0.0,0.07,0.87,Nintendo
NCAA Football 13,PS3,2012,Action,Electronic Arts,0.82,0.0,0.0,0.06,0.87,PlayStation
Kingdoms of Amalur: Reckoning,PS3,2012,Role-Playing,Electronic Arts,0.37,0.3,0.09,0.11,0.87,PlayStation
NFL GameDay '97,PS,1996,Sports,Sony Computer Entertainment,0.48,0.33,0.0,0.06,0.87,PlayStation
Beijing 2008,PS3,2008,Sports,Sega,0.14,0.54,0.01,0.18,0.87,PlayStation
The House of the Dead: Overkill,Wii,2009,Shooter,Sega,0.46,0.31,0.02,0.09,0.87,Nintendo
Tony Hawk's Project 8,PS2,2006,Sports,Activision,0.72,0.03,0.0,0.12,0.87,PlayStation
Injustice: Gods Among Us,PS4,2013,Fighting,Warner Bros. Interactive Entertainment,0.46,0.29,0.0,0.12,0.87,PlayStation
NHL 2000,PS,1998,Sports,Electronic Arts,0.48,0.33,0.0,0.06,0.87,PlayStation
Buzz! Master Quiz,PSP,2008,Misc,Sony Computer Entertainment,0.2,0.44,0.0,0.23,0.87,PlayStation
Brothers in Arms: Hell's Highway,X360,2008,Shooter,Ubisoft,0.47,0.31,0.0,0.09,0.87,Xbox
Fight Night Round 2,PS2,2005,Fighting,Electronic Arts,0.72,0.03,0.0,0.12,0.87,PlayStation
Wizards of Waverly Place,DS,2009,Misc,Disney Interactive Studios,0.59,0.2,0.0,0.08,0.87,Nintendo
Scooby-Doo! First Frights,DS,2009,Action,Warner Bros. Interactive Entertainment,0.63,0.17,0.0,0.07,0.87,Nintendo
Conflict: Desert Storm,XB,2002,Shooter,SCi,0.48,0.37,0.0,0.02,0.87,Xbox
Triple Play 2002,PS2,2002,Sports,Electronic Arts,0.43,0.33,0.0,0.11,0.87,PlayStation
Vagrant Story,PS,2000,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.87,PlayStation
Lemmings,PSP,2006,Puzzle,Sony Computer Entertainment,0.12,0.52,0.0,0.23,0.87,PlayStation
Warriors Orochi,PS2,2007,Action,Tecmo Koei,0.11,0.09,0.64,0.03,0.87,PlayStation
Guitar Hero: Warriors of Rock,X360,2010,Misc,Activision,0.47,0.32,0.0,0.08,0.87,Xbox
Enduro,2600,1982,Misc,Quelle,0.81,0.05,0.0,0.01,0.87,Atari
Tales of Xillia 2,PS3,2012,Role-Playing,Namco Bandai Games,0.2,0.15,0.45,0.07,0.87,PlayStation
SingStar '90s,PS2,2007,Misc,Sony Computer Entertainment,0.1,0.59,0.0,0.18,0.87,PlayStation
Monster Strike 3DS,3DS,2015,Action,"mixi, Inc",0.0,0.0,0.86,0.0,0.86,Nintendo
Tomb Raider: Anniversary,Wii,2007,Action,Eidos Interactive,0.12,0.63,0.0,0.11,0.86,Nintendo
Winning Eleven: Pro Evolution Soccer 2007,PSP,2006,Sports,Konami Digital Entertainment,0.01,0.72,0.12,0.01,0.86,PlayStation
Darksiders II,PS3,2012,Action,THQ,0.35,0.37,0.01,0.14,0.86,PlayStation
Ghostbusters: The Video Game,PS3,2009,Action,Sony Computer Entertainment,0.34,0.37,0.0,0.15,0.86,PlayStation
The World Ends With You,DS,2007,Role-Playing,Square Enix,0.54,0.06,0.21,0.05,0.86,Nintendo
Rocky,PS2,2002,Fighting,Rage Software,0.42,0.33,0.0,0.11,0.86,PlayStation
Dragon Quest VIII: Journey of the Cursed King,3DS,2015,Role-Playing,Square Enix,0.0,0.0,0.86,0.0,0.86,Nintendo
Ford Racing,PS,2001,Racing,Empire Interactive,0.48,0.33,0.0,0.06,0.86,PlayStation
Madden Football 64,N64,1997,Sports,Electronic Arts,0.81,0.04,0.0,0.01,0.86,Nintendo
MLB 99,PS,1998,Sports,Sony Computer Entertainment,0.48,0.32,0.0,0.06,0.86,PlayStation
Dragon Ball Z: Burst Limit,PS3,2008,Fighting,Atari,0.22,0.34,0.18,0.12,0.86,PlayStation
The Legendary Starfy,DS,2008,Platform,Nintendo,0.61,0.0,0.2,0.05,0.86,Nintendo
2010 FIFA World Cup South Africa,X360,2010,Sports,Electronic Arts,0.32,0.43,0.02,0.09,0.86,Xbox
Dynasty Warriors 4: Xtreme Legends,PS2,2003,Action,Tecmo Koei,0.17,0.13,0.51,0.04,0.86,PlayStation
Ninja Gaiden Sigma 2,PS3,2009,Action,Ubisoft Annecy,0.52,0.16,0.08,0.1,0.86,PlayStation
Forza Horizon 2,X360,2014,Racing,Microsoft Game Studios,0.35,0.43,0.0,0.07,0.85,Xbox
Skate 2,PS3,2009,Sports,Electronic Arts,0.46,0.26,0.01,0.12,0.85,PlayStation
FIFA Soccer 08,DS,2007,Sports,Electronic Arts,0.1,0.65,0.0,0.11,0.85,Nintendo
Army Men: Air Attack,PS,1999,Action,3DO,0.47,0.32,0.0,0.06,0.85,PlayStation
Need for Speed: Nitro,Wii,2009,Racing,Electronic Arts,0.46,0.31,0.0,0.08,0.85,Nintendo
Madden NFL 09 All-Play,Wii,2008,Sports,Electronic Arts,0.78,0.01,0.0,0.07,0.85,Nintendo
NBA 2K8,X360,2007,Sports,Take-Two Interactive,0.79,0.0,0.0,0.07,0.85,Xbox
Far Cry: Primal,XOne,2016,Action,Ubisoft,0.46,0.32,0.0,0.07,0.85,Xbox
